category,resource_key,msg_id,final_zh,updated_at,compiled_at,reviewed_at,ai_reviewed_at,high_risk_at
battle,BATTLE/EVENT/SCRIPT/0282,MSG_BTLSTART_001,"[msg MSG_BTLSTART_001 [安娜塔西娅]]
[s][vp 8 0 2 1001 0 0]这样下去只会被杀掉！[n][f 1 3 65535][w][e]",2026-08-07T01:30:00.000Z,2026-08-10T06:55:31.841Z,2026-08-22T02:53:47.305Z,,
battle,BATTLE/EVENT/SCRIPT/0282,MSG_BTLSTART_002,"[msg MSG_BTLSTART_002 [安娜塔西娅]]
[s][vp 8 0 2 1002 0 0]憎恨眼前的敌人吧！[n]将那份憎恶化作力量……释放出来！[n][f 1 3 65535][w][e]",2026-08-07T01:30:00.000Z,2026-08-10T06:55:31.841Z,2026-09-01T04:35:51.533Z,,
battle,BATTLE/EVENT/SCRIPT/0282,MSG_BTLSTART_003,"[msg MSG_BTLSTART_003 [安娜塔西娅]]
[s][vp 8 0 2 1003 0 0]挥动你的利刃吧！[n][f 1 3 65535][w][e]",2026-08-07T01:30:00.000Z,2026-08-10T06:55:31.841Z,2026-09-01T04:35:52.157Z,,
battle,BATTLE/EVENT/SCRIPT/0282,MSG_BTLSTART_004,"[msg MSG_BTLSTART_004 [安娜塔西娅]]
[s][vp 8 0 2 1004 0 0]尽情撕裂他们吧！[n][f 1 3 65535][w][e]",2026-08-07T01:30:00.000Z,2026-08-10T06:55:31.841Z,2026-09-01T04:35:57.967Z,,
battle,BATTLE/EVENT/SCRIPT/0282,MSG_BTLSTART_005,"[msg MSG_BTLSTART_005 [安娜塔西娅]]
[s]来吧，撕裂他们！[n]将这些猪猡的欲望彻底撕碎！[n][f 1 3 65535][w][e]",2026-08-07T01:30:00.000Z,2026-08-10T06:55:31.841Z,2026-09-01T04:35:59.108Z,,
battle,BATTLE/EVENT/SCRIPT/0282,MSG_BTLSTART_006,"[msg MSG_BTLSTART_006 [安娜塔西娅]]
[s][vp 8 0 2 1006 0 0]折翼而破碎的天使啊，[n]我们在远离恩典、不断坠落之时振翅飞翔……[n][f 1 3 65535][w][e]",2026-08-07T01:30:00.000Z,2026-08-10T06:55:31.841Z,2026-09-01T04:35:59.568Z,,
battle,BATTLE/EVENT/SCRIPT/0282,MSG_BTLSTART_007,"[msg MSG_BTLSTART_007 [安娜塔西娅]]
[s][vp 8 0 2 1006 0 0]折翼而破碎的天使啊，[n]我们在远离恩典、不断坠落之时振翅飞翔……[n][f 1 3 65535][w][e]",2026-08-07T01:30:00.000Z,2026-08-10T06:55:31.841Z,2026-09-01T04:36:00.371Z,,
battle,BATTLE/EVENT/SCRIPT/0282,MSG_BTLSTART_008,"[msg MSG_BTLSTART_008 [安娜塔西娅]]
[s][vp 8 0 2 1007 0 0]让我们携手寻找[n]你所追求的意义吧。[n][f 1 3 65535][w][e]",2026-08-07T01:30:00.000Z,2026-08-10T06:55:31.841Z,2026-09-01T04:36:06.364Z,,
battle,BATTLE/EVENT/SCRIPT/0282,MSG_BTLSTART_009,"[msg MSG_BTLSTART_009]
[s]变成了这个形态的我，就是破坏冲动的化身吼！[n]别以为你能活着回去吼！[n][f 1 3 65535][w][e]",,2026-09-01T04:36:06.998Z,2026-09-01T04:36:06.998Z,,
battle,BATTLE/EVENT/SCRIPT/0283,MSG_BTLSTART_001,"[msg MSG_BTLSTART_001 [摩尔加纳]]
[s][bup 0 3 2 0 0][vp 8 0 2 1001 0 3][f 4 10 65535 0 0]该死的暗影……[n]看来是进入迎击状态了啊！[n][f 1 3 65535][w][e]",,2026-09-01T04:36:12.032Z,2026-09-01T04:36:12.032Z,,
